Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.32,0.54,0.0,0.61,0.8,0.0,1.0,1.0,0.51,0.0,0.18,0.0,0.78,0.49,0.57,0.57,0.72,0.21,0.72,0.57,0.24,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,16.8911772615,-2.303788156,20.2844662024,-4.92440288862,19.8073784658,-2.5530477481,18.9413986639,-2.02180819738,18.9896085997,-4.8885693042,20.6337171593,-2.83390183049,18.0373209219,-2.18623224032,17.9973276202,0.0,0.47,0.7,0.0,0.38,0.03,0.0,1.0,1.0,0.38,0.0,0.86,0.0,0.21,0.67,0.38,0.54,0.21,0.71,0.91,0.43,0.45,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.51554765479,17.3419488241,-1.81439701493,19.7001568057,-4.84874609882,20.1346758691,-2.2453038204,17.677794683,-2.00251554441,19.0586956664,-4.55850280282,20.3491937728,-2.82886493023,18.2788731491,-2.31286364299,18.1745868278,0.0,0.98,0.3,0.0,0.4,0.4,0.0,1.0,1.0,0.89,0.0,0.8,0.0,0.87,0.43,0.32,0.1,0.82,0.64,0.52,0.11,0.93,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.46138512413,17.3452873267,-1.94125277226,20.0984255004,-4.76104426614,19.8291001008,-2.5071231375,19.6527794762,-2.01938352221,19.6942466192,-4.64942228853,20.1066515361,-2.80758027236,18.207104869,-2.30914217311,18.2812851839,0.0,0.2,0.76,0.0,0.19,0.04,0.0,1.0,1.0,0.85,0.0,0.01,0.0,0.18,0.64,0.97,0.39,0.46,0.99,0.65,0.34,0.51,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.48577565017,16.5920378579,-1.87316046929,19.6883394087,-4.85867814736,21.0401919312,-2.14129881224,17.6449011848,-1.92190146156,18.7151623765,-4.73029211333,19.5890982106,-2.84847051185,17.999065759,-2.30905174909,18.2519383421,0.0,0.99,0.31,0.0,0.91,0.68,0.0,1.0,1.0,0.52,0.0,0.12,0.0,0.33,0.62,0.98,0.19,0.44,0.07,0.12,0.42,0.15,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.67012913809,17.3715820905,-1.97360921206,18.9907524095,-4.51366717297,20.0924926647,-2.54621215882,19.2996518072,-2.14323979928,19.3286712632,-4.90719168301,20.0519866064,-2.93069081444,17.5658529171,-2.34554956857,18.085499909,0.0,0.5,0.61,0.0,0.11,0.44,0.0,1.0,1.0,0.12,0.0,0.31,0.0,0.45,0.2,0.68,0.09,0.61,0.35,0.59,0.87,0.79,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.5291633283,17.4696423017,-2.12505899096,18.2620248407,-4.79660055513,19.664938774,-2.23793524853,18.917402024,-2.01881008248,19.1324440877,-4.77882367611,19.9696570452,-3.04668180185,18.1137643308,-2.38680263399,18.2240076212,0.0,0.54,1.0,0.0,0.77,0.42,0.0,1.0,1.0,0.05,0.0,0.99,0.0,0.07,0.24,0.12,0.7,0.3,0.61,0.89,0.18,0.34,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.47746125242,18.3536770914,-2.26337918321,19.3765750807,-4.92419326419,21.0980051736,-2.29201411485,18.6382950057,-1.98395917293,19.4698560771,-4.8010816971,21.9848784055,-2.91425208764,18.6080883721,-2.31559047264,18.536731018,0.0,0.52,0.81,0.0,0.57,0.98,0.0,1.0,1.0,0.74,0.0,0.64,0.0,0.51,0.06,0.04,0.12,0.83,0.26,0.23,0.89,0.85,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.30195375812,19.4608920698,-2.05355700632,20.504531508,-4.50359395323,20.8402639788,-2.3242147219,19.5623811729,-1.84915488827,21.1714496147,-4.20506905688,22.1025653332,-2.79721638122,19.7460208902,-2.20669690719,19.7326305157,0.0,0.68,0.46,0.0,0.75,0.45,0.0,1.0,1.0,0.83,0.0,0.78,0.0,0.88,0.57,0.62,0.72,0.46,0.35,0.09,0.02,0.06,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.06059004431,21.5310901863,-1.82477039685,21.4581373293,-4.59451337695,21.6464206728,-2.1067102843,21.3758161819,-1.42603127431,21.7711748634,-4.17671018033,21.6881236808,-2.50633730623,21.5009995419,-1.88512798783,21.4681701005,0.0,0.63,0.51,0.0,0.15,0.06,0.0,1.0,1.0,0.42,0.0,0.23,0.0,0.37,0.44,0.76,0.39,0.8,0.08,0.81,0.1,0.61,0.0
1.0,1.0,10.0,21.2,8.9,126.0,67.0,1.1216193279,0.0,-1.61608581013,21.1887464692,-1.60551865061,21.6682978502,-4.33744596493,21.7994464245,-1.69052274344,21.125139129,-1.24133348649,21.868438274,-4.27902038242,21.8098322894,-2.0535566245,21.4684711129,-1.42472325878,21.6193567516,0.0,0.97,0.8,0.0,0.56,0.29,0.0,1.0,1.0,0.29,0.0,0.67,0.0,0.41,0.36,0.95,0.27,0.44,0.54,0.89,0.27,0.16,0.0
1.0,1.0,11.0,22.0,9.1,127.0,59.0,1.11984156945,0.0,-1.65061510302,21.987571941,-1.54884728623,22.5285295898,-4.28485350667,22.6058265559,-1.69894651533,21.8033304108,-1.13934202538,22.744207723,-4.23636999402,22.6916390045,-2.01362363758,22.1595398942,-1.3045741998,22.1532995987,0.0,0.41,0.76,0.0,0.06,0.15,0.0,1.0,1.0,0.67,0.0,0.0,0.0,0.34,0.74,0.87,0.78,0.46,0.91,0.5,0.63,0.29,0.0
1.0,1.0,12.0,23.9,8.6,116.0,54.0,1.11136617253,0.0,-1.49440139647,23.8119518756,-1.38063649756,24.269046843,-4.06473842117,23.9832697568,-1.55308826232,23.2114466683,-0.905337555763,24.0810038485,-3.99377953715,24.080729267,-1.85618978762,23.8878590629,-1.14914495163,23.7985730934,0.0,0.85,0.3,0.0,0.5,0.9,0.0,1.0,1.0,0.82,0.0,0.75,0.0,0.54,0.89,0.88,0.51,0.36,0.06,0.41,0.77,0.49,0.0
1.0,1.0,13.0,21.0,9.0,113.0,66.0,1.12209146586,0.0,-1.09853489774,21.1805487477,-0.99595560344,22.107247958,-3.62925153045,22.5439847794,-1.23173885353,21.4309873369,-0.634535761812,22.729791039,-3.5536745173,22.6914266277,-1.41758786843,21.6484249369,-0.743904730849,21.9201920801,0.0,0.63,0.54,0.0,0.65,0.11,0.0,1.0,1.0,0.05,0.0,0.38,0.0,0.74,0.2,0.13,0.2,0.89,0.79,1.0,0.98,0.75,0.0
