Time,BLOCK1:ZONE3::Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE3::Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,1.104744E+04,0.000000E+00,6.969880E+04,8.088485E+02,0.000000E+00,2.478775E-02,0.000000E+00,2.301370E+04,0.000000E+00,7.046835E-01,0.000000E+00,1.424914E+05,0.000000E+00,4.362963E+00,0.000000E+00
02:00:00,0.000000E+00,6.643246E+03,0.000000E+00,2.306394E+03,8.079981E+02,0.000000E+00,2.476169E-02,0.000000E+00,2.301339E+04,0.000000E+00,7.046742E-01,0.000000E+00,1.424907E+05,0.000000E+00,4.362940E+00,0.000000E+00
03:00:00,0.000000E+00,6.378623E+03,0.000000E+00,1.938207E+04,8.081025E+02,0.000000E+00,2.476489E-02,0.000000E+00,2.301343E+04,0.000000E+00,7.046755E-01,0.000000E+00,1.424908E+05,0.000000E+00,4.362943E+00,0.000000E+00
04:00:00,0.000000E+00,6.120551E+03,0.000000E+00,7.336886E+04,8.082038E+02,0.000000E+00,2.476799E-02,0.000000E+00,2.301347E+04,0.000000E+00,7.046767E-01,0.000000E+00,1.424909E+05,0.000000E+00,4.362945E+00,0.000000E+00
05:00:00,0.000000E+00,1.003142E+04,0.000000E+00,7.595403E+04,8.083021E+02,0.000000E+00,2.477101E-02,0.000000E+00,2.301351E+04,0.000000E+00,7.046779E-01,0.000000E+00,1.424909E+05,0.000000E+00,4.362948E+00,0.000000E+00
06:00:00,0.000000E+00,9.771190E+03,0.000000E+00,2.016847E+04,8.083976E+02,0.000000E+00,2.477393E-02,0.000000E+00,2.301355E+04,0.000000E+00,7.046791E-01,0.000000E+00,1.424910E+05,0.000000E+00,4.362950E+00,0.000000E+00
07:00:00,0.000000E+00,6.584243E+03,0.000000E+00,5.023534E+04,8.084904E+02,0.000000E+00,2.477678E-02,0.000000E+00,2.301359E+04,0.000000E+00,7.046802E-01,0.000000E+00,1.424911E+05,0.000000E+00,4.362953E+00,0.000000E+00
08:00:00,0.000000E+00,8.293714E+03,0.000000E+00,6.724332E+04,8.085805E+02,0.000000E+00,2.477954E-02,0.000000E+00,2.301362E+04,0.000000E+00,7.046812E-01,0.000000E+00,1.424912E+05,0.000000E+00,4.362955E+00,0.000000E+00
09:00:00,0.000000E+00,9.583341E+03,0.000000E+00,4.721759E+04,8.086680E+02,6.971878E+01,2.478222E-02,5.183694E-03,2.301365E+04,0.000000E+00,7.046822E-01,0.000000E+00,1.424913E+05,3.385119E+01,4.362957E+00,2.515296E-03
10:00:00,0.000000E+00,1.139339E+04,0.000000E+00,5.023749E+04,8.087530E+02,1.992662E+02,2.478482E-02,1.481280E-02,2.301369E+04,0.000000E+00,7.046832E-01,0.000000E+00,1.424913E+05,2.166608E+02,4.362960E+00,1.610074E-02
