Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-1.00533316964,19.5521411755,-1.4693443491,18.4141870751,-4.65072795432,17.990141346,-1.5185974216,19.156876437,-0.842727403624,20.4008712541,-4.60754577872,18.0195618148,-1.19947947659,19.7402879194,-0.669817436029,18.9411598186,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-1.86328730734,20.6967442947,-2.12914827231,19.3955524182,-5.39807765068,19.0404971524,-2.0621588854,20.3631772351,-1.6282745256,20.9642753724,-5.36723312274,18.9549851967,-2.31633136433,20.5233198673,-1.97883931826,18.2248289501,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-1.67503056628,20.7247253425,-1.96472746276,19.3121932646,-5.12073713173,18.5731731136,-1.86972013006,20.2218112354,-1.57193699289,20.8467372376,-5.12542461632,18.4837713127,-2.20708257479,20.2092644027,-2.21887744954,18.1765004942,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-1.69929789229,20.0275699465,-2.00883128217,18.7946791358,-5.28259579861,18.2772203725,-1.93184900121,19.7411322913,-1.64220228209,20.1792546028,-5.29170746569,18.1861376176,-2.3168952445,19.4650448056,-2.28476792647,17.6750643328,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-1.86326787707,19.4110048856,-2.13008202323,18.616999146,-5.39809142083,17.9070057513,-2.05519715693,19.4513518121,-1.81423730555,19.608866808,-5.41064861398,17.9779517155,-2.52622568884,18.6461818633,-2.44159691882,16.8494325151,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-2.02296327304,18.2898795823,-2.19812308825,18.4087346184,-5.5456152358,17.6179101108,-2.14800691574,19.1014280785,-1.97820189659,18.5964792522,-5.51191267552,17.9999382082,-2.77082902832,17.7268940969,-2.67819769067,16.0563330674,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-2.24119598264,17.7958372755,-2.25357075399,18.6671651045,-5.65544281909,18.1905950646,-2.22566441983,19.214866993,-2.18068150749,18.1322554711,-5.52701350812,18.1022645799,-3.02023281944,17.3886982093,-2.87972630626,16.1806488743,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-2.31525607121,18.0615257497,-2.20787393983,18.885525257,-5.51682471386,18.7045941596,-2.16721614741,19.5012509774,-2.25332980604,18.4164431349,-5.52987739573,18.6534488458,-3.12111733706,17.7041272264,-2.85141021604,16.8811798924,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-2.25562563444,17.4112158523,-2.16254858156,18.8256189838,-5.37834588802,19.61576262,-2.06812384765,20.1579966862,-2.16350422904,18.7130887453,-5.3867315825,19.5544656099,-3.04897261756,17.9968163466,-2.657483748,17.9327617784,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-2.39709069865,18.1481301475,-2.18232237186,18.9332666777,-5.1193570872,19.7794921683,-1.90489218161,20.481449546,-2.05718060646,19.0934276675,-5.1341449563,19.7024895241,-2.97218248866,18.3654751335,-2.37066719861,18.4262608494,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
