Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  01:00:00,16.4,74.0,1.9,0.0,1.1867456435709126,0.0,19.156876407631694,17.990141383065404,19.740287891038159,18.019561754807087,20.400871219802448,19.55214125305096,18.41418705357003,18.9411596687496,-1.5185974321052325,-4.650727922022022,-1.1994795055327293,-4.607545734891045,-0.8427274278346858,-1.005333209926896,-1.4693443689497819,-0.6698174230789256 
 01/01  02:00:00,16.1,76.0,2.2,0.0,1.18905531979585,0.0,20.36317721058076,19.040497190130677,20.523319794193314,18.9549852500977,20.96427530460256,20.69674427262562,19.39555242559372,18.224828937697756,-2.062158899404261,-5.398077619706669,-2.31633138635101,-5.367233119954213,-1.6282745431961936,-1.863287313344846,-2.129148294356976,-1.978839345900012 
 01/01  03:00:00,15.7,79.0,2.4,0.0,1.190480107100925,0.0,20.221809319094008,18.573177244998548,20.20920810032664,18.483775633728734,20.84673716992141,20.724720113739957,19.312195847597026,18.17619923722296,-1.8697201411184553,-5.120737101781126,-2.207082604449678,-5.125424575802786,-1.5719370170217658,-1.6750305879851609,-1.9647274760186962,-2.218877450018996 
 01/01  04:00:00,15.3,82.0,2.6,0.0,1.1919321643551578,0.0,19.741129480096967,18.27725097971485,19.464579150725279,18.18616952682224,20.178935927347504,20.02725923982299,18.794718229002215,17.674382345396564,-1.9318494008376062,-5.282594411817253,-2.3169140597093809,-5.291706047837656,-1.6422027912428315,-1.6992992674441106,-2.0088308727062129,-2.2848369737699749 
 01/01  05:00:00,14.9,84.0,2.9,0.0,1.1948252795460309,0.0,19.451362566756275,17.907053689347206,18.64551496562213,17.977950044819367,19.608360810834605,19.4104929828718,18.617044911369889,16.848583262370736,-2.0551976749692137,-5.398081740652146,-2.5263435799898774,-5.41063874253597,-1.814305401458905,-1.8633325794048879,-2.130074748467349,-2.441754707022255 
 01/01  06:00:00,14.5,88.0,3.1,0.0,1.1961261923124238,0.0,19.101497781889507,17.61830065020532,17.716407713064535,17.999938249889188,18.58877925438685,18.281272572413039,18.409121189040734,16.05515244062097,-2.148004700399599,-5.5455998946202629,-2.7710016728587805,-5.511913312614636,-1.978313803257221,-2.0230742593132664,-2.1981150463189369,-2.678399532990959 
 01/01  07:00:00,15.3,82.0,3.1,0.0,1.1931401104662714,0.0,19.214824648229905,18.190862768852158,17.38709453975696,18.102609365755478,18.129182050267116,17.79162220530291,18.66715422396537,16.179918028844108,-2.2256469120060498,-5.655326475520368,-3.0224706605959388,-5.527015642122348,-2.1820237501926869,-2.2427903700021796,-2.2534988554840198,-2.8800237050690424 
 01/01  08:00:00,16.2,77.0,3.1,0.0,1.18951953830162,0.0,19.501826055518998,18.704410762087869,17.71041250214667,18.65322317645623,18.42116473331624,18.065965361741556,18.886508599353716,16.880959853035188,-2.167221125962918,-5.516746218247221,-3.121452500504441,-5.529786350859904,-2.2537518328999406,-2.3160064410693725,-2.2078664421629705,-2.851594555641972 
 01/01  09:00:00,17.0,72.0,3.1,180.0,1.18651444739062,0.0,20.1590859133387,19.615710284685336,18.000237642800529,19.554382835329954,18.716738303418976,17.411047419581914,18.828910996358994,17.934356137876855,-2.068018812999643,-5.378404328394951,-3.0476018449113906,-5.386809880258975,-2.162461536835735,-2.2547016233102759,-2.162360135165754,-2.657534545938865 
 01/01  10:00:00,17.8,68.0,3.1,180.0,1.1833618065420034,0.0,20.481796704216536,19.77943706813686,18.365654470194973,19.702424318947725,19.093918695490076,18.148172381200494,18.933657146792496,18.42656526231212,-1.9047250641707657,-5.11937848829451,-2.9714951462256344,-5.134177098533807,-2.0564657664503929,-2.3970637885356136,-2.1817523146469486,-2.3704333969698898 
