Time,BLOCK1:ZONE3::Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE3::Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,1.085933E+04,0.000000E+00,6.904871E+04,7.671146E+02,0.000000E+00,2.350879E-02,0.000000E+00,2.307363E+04,0.000000E+00,7.065187E-01,0.000000E+00,1.426845E+05,0.000000E+00,4.368873E+00,0.000000E+00
02:00:00,0.000000E+00,6.454122E+03,0.000000E+00,1.492237E+03,7.662663E+02,0.000000E+00,2.348280E-02,0.000000E+00,2.307333E+04,0.000000E+00,7.065093E-01,0.000000E+00,1.426837E+05,0.000000E+00,4.368850E+00,0.000000E+00
03:00:00,0.000000E+00,6.189596E+03,0.000000E+00,5.619514E+03,7.663704E+02,0.000000E+00,2.348599E-02,0.000000E+00,2.307337E+04,0.000000E+00,7.065106E-01,0.000000E+00,1.426838E+05,0.000000E+00,4.368853E+00,0.000000E+00
04:00:00,0.000000E+00,5.931818E+03,0.000000E+00,3.345906E+04,7.664715E+02,0.000000E+00,2.348908E-02,0.000000E+00,2.307341E+04,0.000000E+00,7.065119E-01,0.000000E+00,1.426839E+05,0.000000E+00,4.368855E+00,0.000000E+00
05:00:00,0.000000E+00,5.868599E+03,0.000000E+00,8.709617E+04,7.665696E+02,0.000000E+00,2.349209E-02,0.000000E+00,2.307345E+04,0.000000E+00,7.065131E-01,0.000000E+00,1.426840E+05,0.000000E+00,4.368858E+00,0.000000E+00
06:00:00,0.000000E+00,4.846054E+03,0.000000E+00,5.790870E+04,7.666649E+02,0.000000E+00,2.349501E-02,0.000000E+00,2.307349E+04,0.000000E+00,7.065142E-01,0.000000E+00,1.426840E+05,0.000000E+00,4.368860E+00,0.000000E+00
07:00:00,0.000000E+00,5.862827E+03,0.000000E+00,3.902973E+04,7.667574E+02,0.000000E+00,2.349785E-02,0.000000E+00,2.307352E+04,0.000000E+00,7.065153E-01,0.000000E+00,1.426841E+05,0.000000E+00,4.368863E+00,0.000000E+00
08:00:00,0.000000E+00,1.110887E+04,0.000000E+00,9.038926E+04,7.668473E+02,0.000000E+00,2.350060E-02,0.000000E+00,2.307356E+04,0.000000E+00,7.065164E-01,0.000000E+00,1.426842E+05,0.000000E+00,4.368865E+00,0.000000E+00
09:00:00,0.000000E+00,1.216140E+04,0.000000E+00,7.930169E+04,7.669346E+02,6.684902E+01,2.350328E-02,4.973899E-03,2.307359E+04,0.000000E+00,7.065174E-01,0.000000E+00,1.426843E+05,2.828751E+01,4.368867E+00,2.101934E-03
10:00:00,0.000000E+00,1.100434E+04,0.000000E+00,7.481853E+04,7.670194E+02,1.924584E+02,2.350588E-02,1.431067E-02,2.307362E+04,0.000000E+00,7.065183E-01,0.000000E+00,1.426843E+05,2.022001E+02,4.368869E+00,1.502606E-02
