Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.419999986887,0.430000007153,0.419999986887,0.419999986887,0.439999997616,0.409999996424,0.439999997616,0.430000007153,0.409999996424
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-1.58839295758,21.6482918524,-2.25787142804,21.13704148,-1.91072215335,20.3394474626,0.0,0.419999986887,0.430000007153,0.419999986887,0.409999996424,0.439999997616,0.409999996424,0.430000007153,0.430000007153,0.409999996424
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-1.43239822724,21.7689381439,-2.03370114018,21.3506842286,-1.73570233155,19.9686763178,0.0,0.419999986887,0.430000007153,0.419999986887,0.409999996424,0.439999997616,0.409999996424,0.430000007153,0.430000007153,0.40000000596
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-1.43932666158,21.9802198342,-2.01092958799,21.7961718024,-1.84812410185,18.5314380945,0.0,0.419999986887,0.430000007153,0.419999986887,0.409999996424,0.439999997616,0.409999996424,0.439999997616,0.430000007153,0.409999996424
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-1.42271351539,21.4780955497,-1.95209471541,21.1072132928,-2.19044130021,18.0176748946,0.0,0.419999986887,0.430000007153,0.419999986887,0.419999986887,0.439999997616,0.409999996424,0.439999997616,0.430000007153,0.409999996424
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-1.55508605731,21.1447980291,-2.1393471836,20.6476184249,-2.35340134353,17.9551589185,0.0,0.430000007153,0.430000007153,0.430000007153,0.419999986887,0.439999997616,0.409999996424,0.439999997616,0.430000007153,0.409999996424
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-1.61575472576,20.726798487,-2.25934222584,19.9996297642,-2.38800036761,17.9765172019,0.0,0.430000007153,0.439999997616,0.430000007153,0.419999986887,0.449999988079,0.419999986887,0.439999997616,0.439999997616,0.419999986887
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-1.67210822039,20.1222352313,-2.41852074803,19.083961634,-2.37615872921,17.9856446629,0.0,0.439999997616,0.449999988079,0.439999997616,0.430000007153,0.460000008345,0.430000007153,0.449999988079,0.449999988079,0.430000007153
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-1.75798727246,20.0339988975,-2.62604876858,18.9641664066,-2.33647359489,18.9321984368,0.0,0.479999989271,0.490000009537,0.479999989271,0.479999989271,0.490000009537,0.469999998808,0.490000009537,0.479999989271,0.479999989271
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-1.72378345389,20.4073238054,-2.63767995784,19.4301240618,-2.07927549302,19.3875195898,0.0,0.479999989271,0.490000009537,0.479999989271,0.479999989271,0.490000009537,0.469999998808,0.490000009537,0.479999989271,0.479999989271
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-1.6025110035,20.8435875444,-2.51487485824,19.9436145796,-1.90836021127,19.9710112797,0.0,0.479999989271,0.490000009537,0.479999989271,0.479999989271,0.490000009537,0.469999998808,0.490000009537,0.479999989271,0.479999989271
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-1.43830563985,21.4053279089,-2.3619160952,20.5051434972,-1.68927732259,20.6059848691,0.0,0.469999998808,0.490000009537,0.479999989271,0.479999989271,0.490000009537,0.469999998808,0.490000009537,0.479999989271,0.479999989271
