Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  01:00:00,16.4,74.0,1.9,0.0,8.937337811128032,0.0,0.0,24.18,38518.40914444194,1.1867456435709126,0.0,21.10799269718104,19.535985055249449,24.458808279614965,20.390677282545594,24.101389881878196,23.790531297380736,20.926421714938706,24.46398092731848,-1.518597421601992,-4.65072795431609,-1.199479476592438,-4.607545778716816,-0.8427274036239104,-1.0053331696432455,-1.4693443490971845,-0.6698174360289045 
 01/01  02:00:00,16.1,76.0,2.2,0.0,7.5520898046934239,0.0,0.0,24.18,38358.626361704206,1.18905531979585,0.0,21.927109298684824,21.07115176846097,24.629668246231995,20.28153040514261,24.22337800239006,23.901403753386263,22.473254334388803,24.279591107245709,-1.6512925742625818,-4.890739292151891,-1.1621679953441229,-4.6273690375174889,-0.8409958563982262,-0.98491913038337,-1.5818647100888504,-0.7386509580734993 
 01/01  03:00:00,15.7,79.0,2.4,0.0,7.152512863335971,0.0,0.0,24.18,38247.52577358087,1.190480107100925,0.0,22.06138398401788,20.877919970719483,24.677893665773327,20.038839949719578,24.25147732464222,23.941350643093707,22.563662452855188,24.116277513215008,-1.5208381205905455,-4.454246260031984,-1.1380786002548969,-4.664628941896592,-0.8420926298396873,-0.9704605257165733,-1.2925343312643587,-0.7968742445363746 
 01/01  04:00:00,15.3,82.0,2.6,0.0,5.94341561115192,0.0,0.0,24.18,38105.138085533414,1.1919321643551578,0.0,21.982166574173104,20.875382474139316,24.742894458824048,21.415085874838647,24.29186619332174,23.987535538108248,22.57092140491867,23.92174383221162,-1.5198938080818448,-4.514507821417109,-1.1358909623459044,-4.744901226478092,-0.8608723507457932,-0.9677821755159642,-1.2818753245110244,-0.8519549760569224 
 01/01  05:00:00,14.9,84.0,2.9,0.0,5.536869134233484,0.0,0.0,24.18,37635.70034269455,1.1948252795460309,0.0,21.729581458404188,20.378048823665038,24.808546390918115,20.124555382062647,24.328535483783175,24.028568807997094,22.190052120310143,23.775802393347087,-1.5593821191311006,-4.522288371648095,-1.1311650913789902,-4.3744585605680339,-0.8794129755579463,-0.9656956085650097,-1.2877699315736793,-0.9136149694104272 
 01/01  06:00:00,14.5,88.0,3.1,0.0,5.332926905358363,0.0,0.0,24.18,37707.917892968355,1.1961261923124238,0.0,21.470208515615476,20.04913865537611,24.833158551193749,20.191842390247147,24.325945871773109,24.027064453957985,21.889020116888508,23.629349484933785,-1.6355180184953023,-4.686797828127253,-1.1263456347724093,-4.7489268414280609,-0.8943698712530219,-0.963034572667652,-1.371875438110171,-0.962427306887497 
 01/01  07:00:00,15.3,82.0,3.1,0.0,5.332926905358363,55.0,158.0,24.18,38082.12492320085,1.1931401104662714,0.0,21.343168599789175,20.303639371496705,24.461830515663086,20.22992995894729,24.111940143167997,23.89077554204469,21.685220103171586,23.529589163732476,-1.6891832231171749,-4.790142435464132,-1.1203211592551763,-4.709299211183351,-0.8779644753225466,-0.9328913117720954,-1.4296855055938687,-0.9901219967186268 
 01/01  08:00:00,16.2,77.0,3.1,0.0,6.146024394745439,103.0,619.0,24.18,38879.87343058325,1.18951953830162,0.0,20.06416544108243,18.947347749522547,20.545904894069328,19.96904958927339,21.228976470356483,20.345748059082884,20.137320684853817,19.314232977574947,-1.668033806352694,-4.726513201455664,-1.1913623532653027,-4.7285919051965099,-0.8804873648949566,-0.9039759129285273,-1.4530637905902813,-0.980645471279063 
 01/01  09:00:00,17.0,72.0,3.1,180.0,6.952081907257593,161.0,563.0,24.18,39327.17670620119,1.18651444739062,0.0,20.917836876341697,20.75658261770637,20.04742158401393,20.198736563533644,21.532115739363115,19.97790270137683,21.034873259854078,20.06941118542111,-1.8823838444396899,-5.1606016393781088,-2.1072810173447529,-4.817496586145784,-1.4223356729900308,-1.590694785809689,-1.7614147614935046,-1.879054142484322 
 01/01  10:00:00,17.8,68.0,3.1,180.0,7.751240046876092,236.0,482.0,24.18,39995.783478815116,1.1833618065420034,0.0,20.984168162888744,20.848745001546413,20.04184705741056,20.170898715428959,21.245956934869765,19.8474668708062,20.743434375388895,19.857810789918834,-1.6892782608453392,-4.638783877897155,-2.213782156391352,-4.763045814240929,-1.3296240473355597,-1.6381612456878292,-1.593207469946767,-1.6755289335612818 
