Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-4.60754577872,19.5304630077,-1.4693443491,20.8413420702,0.509999990463,0.0,0.5
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-4.86561666774,21.1510474182,-1.59792384768,22.4872823362,0.509999990463,0.0,0.5
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-4.39915918268,20.8712314145,-1.28956204294,22.5744557629,0.509999990463,0.0,0.5
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-4.48246524214,20.8794209159,-1.27911620847,22.547939475,0.509999990463,0.0,0.5
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-4.48534249703,20.3449632441,-1.2909518633,22.1792052883,0.509999990463,0.0,0.5
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-4.65853514389,20.0108126538,-1.37235765644,21.8700645905,0.519999980927,0.0,0.5
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-4.76034079678,20.2370317503,-1.43265691475,21.5698477217,0.509999990463,0.0,0.5
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-4.70658989465,18.9684410587,-1.47694591028,20.0203001036,0.509999990463,0.0,0.5
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-5.10345760291,20.7256626115,-1.78190243812,20.9976418511,0.5,0.0,0.479999989271
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-4.60442046265,20.8382156734,-1.60037130569,20.6412980426,0.5,0.0,0.479999989271
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-4.56473300249,21.2775072654,-1.66757833549,20.7689314837,0.5,0.0,0.479999989271
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-4.42872442766,21.6591954477,-1.62748052375,20.8696141603,0.5,0.0,0.479999989271
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-4.31251385614,22.1544224298,-1.60213620934,21.2968265145,0.5,0.0,0.479999989271
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-4.15441121469,22.6524078711,-1.50609757783,21.8703300178,0.5,0.0,0.479999989271
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-3.99000017663,23.2213398524,-1.37569009028,22.4236504472,0.5,0.0,0.479999989271
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-3.80506432719,22.8849557377,-1.25304729362,22.2983537022,0.5,0.0,0.479999989271
16.0,20.7,2.6,180.0,57.0,1.16924202731,0.0,-3.87005967913,22.5542996579,-1.266401786,21.9074152091,0.5,0.0,0.479999989271
17.0,20.0,2.3,180.0,62.0,1.17134432183,0.0,-3.94391738682,22.2304263916,-1.33808204959,21.5387969184,0.5,0.0,0.479999989271
