Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
16.4,1.9,0.0,74.0,1.18674564357,-4.60754577872,19.5304630077,-1.4693443491,20.8413420702,0.509999990463,0.0,0.490000009537
16.1,2.2,0.0,76.0,1.1890553198,-4.86561666774,21.1523589124,-1.59792384768,22.4869575186,0.509999990463,0.0,0.490000009537
15.7,2.4,0.0,79.0,1.1904801071,-4.39873085784,20.86816677,-1.28963113041,22.5745016254,0.509999990463,0.0,0.490000009537
15.3,2.6,0.0,82.0,1.19193216436,-4.48340959603,20.877121121,-1.27911024657,22.5482039783,0.509999990463,0.0,0.490000009537
14.9,2.9,0.0,84.0,1.19482527955,-4.4860934814,20.3435465969,-1.29089663028,22.1797870528,0.509999990463,0.0,0.490000009537
14.5,3.1,0.0,88.0,1.19612619231,-4.65901163842,20.009869684,-1.37224168639,21.8707323469,0.509999990463,0.0,0.490000009537
15.3,3.1,0.0,82.0,1.19314011047,-4.76067630684,20.2368486797,-1.4325207609,21.5704408209,0.509999990463,0.0,0.490000009537
16.2,3.1,0.0,77.0,1.1895195383,-4.70668740964,18.8865584908,-1.47682053914,20.0092722916,0.509999990463,0.0,0.490000009537
17.0,3.1,180.0,72.0,1.18651444739,-5.13113281127,20.7864806785,-1.78975667462,21.0447637572,0.5,0.0,0.490000009537
17.8,3.1,180.0,68.0,1.18336180654,-4.57678464944,20.8423770612,-1.58420265895,21.1103327675,0.5,0.0,0.490000009537
18.7,3.1,180.0,64.0,1.17978052276,-4.55937458486,21.2789295612,-1.57808293034,20.8947446219,0.5,0.0,0.490000009537
19.5,3.1,180.0,60.0,1.17560363374,-4.42330889303,21.6381143346,-1.60287112897,20.9110480411,0.5,0.0,0.490000009537
20.3,3.1,180.0,56.0,1.17270905008,-4.31565459247,22.1552752306,-1.59327842446,21.3027503187,0.5,0.0,0.490000009537
21.2,3.1,180.0,53.0,1.16911757183,-4.15145582474,22.6550927942,-1.50422595357,21.8650158644,0.5,0.0,0.490000009537
22.0,3.1,180.0,50.0,1.16609488045,-3.9866384839,23.2252223756,-1.37617480384,22.4356591809,0.5,0.0,0.490000009537
21.3,2.8,180.0,54.0,1.16832347714,-3.80157580898,22.8954983796,-1.25049837094,22.2454531255,0.5,0.0,0.490000009537
20.7,2.6,180.0,57.0,1.16924202731,-3.86451816338,22.5552937393,-1.27523622586,21.9045928854,0.5,0.0,0.490000009537
20.0,2.3,180.0,62.0,1.17134432183,-3.94135133546,22.2331149612,-1.33836115376,21.5387418773,0.5,0.0,0.490000009537
19.3,2.0,180.0,67.0,1.17354909808,-4.01057502429,21.8191933007,-1.40826745585,21.1291232343,0.5,0.0,0.490000009537
18.7,1.8,180.0,72.0,1.17533265262,-4.111512155,21.7690386602,-1.49134700706,21.8789624842,0.5,0.0,0.490000009537
18.0,1.5,270.0,77.0,1.17772183568,-4.1065903092,21.1359046797,-1.34749414469,22.0283896962,0.5,0.0,0.490000009537
17.9,1.6,270.0,77.0,1.17824586609,-4.27890898262,21.1273457191,-1.32448251492,21.7023002026,0.5,0.0,0.490000009537
17.8,1.7,270.0,77.0,1.17876959948,-4.2897855932,21.0712161564,-1.38804124876,21.6646822989,0.5,0.0,0.490000009537
17.7,1.8,270.0,77.0,1.18049101601,-4.31420044256,21.0059210556,-1.40373447247,21.6219794703,0.5,0.0,0.490000009537
17.6,1.9,270.0,77.0,1.18101457565,-4.34354672917,20.8428747442,-1.42151317188,21.901288268,0.5,0.0,0.490000009537
17.4,2.0,270.0,77.0,1.18206083111,-4.40453113575,20.7310985415,-1.37158048184,21.7896063858,0.5,0.0,0.490000009537
17.3,2.1,270.0,77.0,1.18258353352,-4.45131514431,20.632250848,-1.40415051444,21.7711858836,0.5,0.0,0.490000009537
17.2,2.2,270.0,77.0,1.18430599606,-4.49358681529,20.5534850501,-1.4133949167,21.7894122307,0.5,0.0,0.490000009537
17.1,2.3,270.0,77.0,1.18482855406,-4.5296394478,20.9292741233,-1.42228428071,21.9353333026,0.5,0.0,0.490000009537
17.0,2.4,270.0,77.0,1.18535083639,-4.41055366286,21.9209817869,-1.39975936048,22.7401065899,0.5,0.0,0.490000009537
18.0,2.3,270.0,73.0,1.1811034955,-4.12361694447,21.8891361532,-1.23047728063,22.7023114682,0.5,0.0,0.490000009537
19.0,2.2,270.0,68.0,1.17720895969,-4.12321656691,21.3056610053,-1.22029120182,20.7550005561,0.5,0.0,0.490000009537
20.0,2.1,90.0,64.0,1.17197693047,-4.29484445508,22.2741834154,-1.58340477179,21.1191859826,0.5,0.0,0.490000009537
21.0,2.0,90.0,60.0,1.16804280174,-3.99930124319,22.7862163253,-1.50228246748,22.3326049961,0.5,0.0,0.490000009537
22.0,1.9,90.0,57.0,1.16390934179,-3.83270971871,23.3787732206,-1.2467341853,23.4079919907,0.5,0.0,0.490000009537
23.0,1.8,90.0,53.0,1.15901415221,-3.63088313037,23.818572591,-0.999982725917,24.2990842646,0.5,0.0,0.490000009537
24.0,1.7,90.0,50.0,1.15507819642,-3.47150987672,24.2217686246,-0.780762795607,24.4234982501,0.5,0.0,0.490000009537
25.0,1.6,90.0,47.0,1.15123947612,-3.31466841578,24.6623591993,-0.71156172701,24.7388524031,0.5,0.0,0.490000009537
26.0,1.5,90.0,45.0,1.14594825246,-3.14463599926,25.1116317117,-0.607388307828,24.6447572887,0.5,0.0,0.490000009537
25.2,1.3,90.0,48.0,1.14871682953,-2.96347593859,24.9898153595,-0.589474151656,24.9775294295,0.5,0.0,0.490000009537
24.3,1.2,90.0,52.0,1.15171219482,-2.95449379906,24.8251520693,-0.496132898335,24.5138695295,0.5,0.0,0.490000009537
23.5,1.0,90.0,55.0,1.15466907652,-2.96109668212,24.5560166475,-0.569084762613,24.1154949613,0.5,0.0,0.490000009537
22.7,0.8,90.0,59.0,1.15737755359,-3.00926162474,24.2121954827,-0.646715413232,23.5844460865,0.5,0.0,0.490000009537
21.8,0.7,90.0,64.0,1.15921020859,-3.08115757436,23.975938837,-0.751641614175,23.8178068948,0.5,0.0,0.490000009537
21.0,0.5,140.0,69.0,1.16183712158,-3.11695513636,23.6435841325,-0.705893971582,23.5948666989,0.5,0.0,0.490000009537
20.4,0.5,140.0,71.0,1.16438213633,-3.18503140329,23.0704933093,-0.749318458141,23.5472770758,0.5,0.0,0.490000009537
19.8,0.5,140.0,73.0,1.1681449117,-3.3500493833,22.7324526329,-0.76205119102,23.3660771525,0.5,0.0,0.490000009537
19.2,0.6,140.0,76.0,1.17048268975,-3.45724789765,22.4285681926,-0.808109896988,23.0616421269,0.5,0.0,0.490000009537
18.6,0.6,140.0,79.0,1.17286498826,-3.55289830891,22.05925554,-0.876971772146,22.7747376625,0.5,0.0,0.490000009537
17.9,0.6,140.0,82.0,1.17701797951,-3.67257631048,21.6124344904,-0.943730514952,22.419016673,0.5,0.0,0.490000009537
17.3,0.6,140.0,85.0,1.17948837789,-3.82630610379,21.2379748265,-1.0296954698,22.1147621901,0.5,0.0,0.490000009537
16.7,0.7,140.0,87.0,1.18222615513,-3.96115609116,20.6660097367,-1.10610186388,22.3938192266,0.5,0.0,0.490000009537
16.1,0.7,140.0,91.0,1.18574851234,-4.16789738414,20.2785983792,-1.06467402659,22.0710360162,0.5,0.0,0.490000009537
15.5,0.7,140.0,94.0,1.18833281508,-4.30769542814,19.8024011278,-1.15108297873,21.9092088298,0.5,0.0,0.490000009537
17.0,0.8,140.0,86.0,1.18205546787,-4.48219858534,20.5417360932,-1.17977279798,22.0895827435,0.5,0.0,0.490000009537
18.5,0.9,140.0,79.0,1.17458816384,-4.27361273791,21.5010415925,-1.13977144368,20.9176019887,0.5,0.0,0.490000009537
20.0,1.0,140.0,73.0,1.16828648257,-3.98260743389,22.4166185658,-1.35730026904,21.5963817268,0.5,0.0,0.490000009537
21.5,1.1,140.0,67.0,1.16220500892,-3.6949967016,23.2125721596,-1.20803012587,22.5469018443,0.5,0.0,0.490000009537
23.0,1.2,140.0,62.0,1.15486167784,-3.43840202258,24.1096690556,-0.995335244346,23.5164931788,0.5,0.0,0.490000009537
24.5,1.2,140.0,57.0,1.1489150147,-3.13821585074,24.8654599479,-0.762875552932,24.591351906,0.5,0.0,0.490000009537
26.0,1.3,140.0,53.0,1.14281451192,-2.87180956457,25.4305354188,-0.504148981213,25.4336373951,0.5,0.0,0.490000009537
27.5,1.4,140.0,49.0,1.13575103428,-2.64982842492,25.9617057444,-0.285407084143,25.3992121682,0.5,0.0,0.490000009537
29.0,1.5,230.0,45.0,1.13006924994,-2.43193188432,25.9906090081,-0.246132871232,25.4544304799,0.5,0.0,0.490000009537
28.0,1.3,230.0,49.0,1.13324843187,-2.39259031773,26.0076043146,-0.209074333026,25.6609594083,0.5,0.0,0.490000009537
27.0,1.2,230.0,52.0,1.13700406339,-2.33388261775,25.9990421828,-0.141898869362,25.7639635861,0.5,0.0,0.490000009537
26.0,1.0,230.0,56.0,1.14047461893,-2.29348807419,25.9996897872,-0.104232599793,25.9615994175,0.5,0.0,0.490000009537
25.0,0.8,230.0,60.0,1.14408737929,-2.25264039716,25.9210236913,-0.051884949756,25.5318965423,0.5,0.0,0.490000009537
24.0,0.7,230.0,64.0,1.14783261802,-2.23388521292,25.6278963555,-0.126438702771,25.1312832788,0.5,0.0,0.490000009537
23.0,0.5,50.0,69.0,1.15137052241,-2.28974054278,25.2949453211,-0.207236898973,24.9116007359,0.5,0.0,0.490000009537
22.4,0.5,50.0,71.0,1.15388622415,-2.35530677984,24.7034817118,-0.257270590418,24.878194357,0.5,0.0,0.490000009537
21.8,0.5,50.0,73.0,1.15761377202,-2.52356530671,24.3676104975,-0.268203532595,24.5713547136,0.5,0.0,0.490000009537
21.2,0.6,50.0,75.0,1.16019161282,-2.62516339045,23.9741597655,-0.339586749863,24.4065792521,0.5,0.0,0.490000009537
20.6,0.6,50.0,78.0,1.16369567553,-2.74567080366,23.6685058401,-0.384108001721,24.0831989894,0.5,0.0,0.490000009537
19.9,0.6,50.0,80.0,1.16687601664,-2.84268585361,23.2251238452,-0.45924116537,23.7685455688,0.5,0.0,0.490000009537
19.3,0.6,50.0,83.0,1.17047180182,-2.99540120062,22.8692529064,-0.538139586255,23.5143025116,0.5,0.0,0.490000009537
18.7,0.7,50.0,85.0,1.17317882712,-3.11925958369,22.4268601224,-0.604860044848,23.3679794307,0.5,0.0,0.490000009537
18.1,0.7,50.0,88.0,1.17685649709,-3.27968700792,22.1007495449,-0.65254122405,22.945529621,0.5,0.0,0.490000009537
17.5,0.7,50.0,91.0,1.17937958809,-3.40572076478,21.6912733115,-0.755916644577,22.6516982807,0.5,0.0,0.490000009537
19.0,1.0,50.0,84.0,1.17182239676,-3.55480783685,22.5010385103,-0.819952510979,22.6648501593,0.5,0.0,0.490000009537
20.5,1.2,50.0,79.0,1.16513042579,-3.314653469,23.1537705654,-0.807165903365,22.1490780279,0.5,0.0,0.490000009537
22.0,1.5,180.0,73.0,1.15891382483,-3.09838783261,24.1513093998,-0.89275184862,23.4580212714,0.5,0.0,0.490000009537
23.5,1.8,180.0,68.0,1.15142069476,-2.78803898826,25.004608704,-0.623433757018,24.3127450408,0.5,0.0,0.490000009537
25.0,2.0,180.0,64.0,1.14494319508,-2.50257289967,25.8912421648,-0.419096568389,25.2436178903,0.5,0.0,0.490000009537
26.5,2.3,180.0,60.0,1.13746703655,-2.1950801659,25.9951969662,-0.189401335418,25.6042129836,0.5,0.0,0.490000009537
28.0,2.6,180.0,56.0,1.13134221428,-2.11426462076,25.9881874007,-0.0721015345516,25.8353339849,0.5,0.0,0.490000009537
29.5,2.8,180.0,52.0,1.1254206008,-2.08298027615,25.9753914345,-0.0010713564063,26.7379251382,0.5,0.0,0.490000009537
31.0,3.1,140.0,49.0,1.11806409533,-2.06223760233,25.9356623024,0.207809376264,31.6946222757,0.5,0.0,0.490000009537
30.0,3.4,140.0,51.0,1.12333304745,-2.04005177003,25.9887650659,1.28780971687,31.5677877624,0.5,0.0,0.490000009537
29.0,3.8,140.0,52.0,1.12798684554,-1.97898841822,25.939611548,1.32509204901,31.244675604,0.5,0.0,0.490000009537
