Melhora Significativa
SE: 1.86073059361% | total: 163 * TENHO QUE CRIAR UM SE PARA ESSE AMBIENTE
All_1: 5.35388127854% | total: 469
All_0: 0.171232876712% | total: 15

Random_001: 7.47716894977% | total: 655
Random_002: 7.84246575342% | total: 687
Random_003: 7.62557077626% | total: 668
Random_004: 7.91095890411% | total: 693
Random_005: 7.47716894977% | total: 655
Random_006: 7.97945205479% | total: 699
Random_007: 7.63698630137% | total: 669
Random_008: 7.78538812785% | total: 682
Random_009: 7.78538812785% | total: 682
Random_010: 7.71689497717% | total: 676
Random_011: 7.80821917808% | total: 684
Random_012: 7.48858447489% | total: 656
Random_013: 7.21461187215% | total: 632
Random_014: 7.59132420091% | total: 665
Random_015: 7.38584474886% | total: 647
Random_016: 7.62557077626% | total: 668
Random_017: 7.53424657534% | total: 660
Random_018: 7.899543379% | total: 692
Random_019: 7.78538812785% | total: 682
Random_020: 7.99086757991% | total: 700
Random_021: 7.38584474886% | total: 647
Random_022: 7.28310502283% | total: 638
Random_023: 7.52283105023% | total: 659
Random_024: 7.899543379% | total: 692
Random_025: 7.8196347032% | total: 685
Random_026: 7.59132420091% | total: 665
Random_027: 7.67123287671% | total: 672
Random_028: 7.53424657534% | total: 660
Random_029: 7.54566210046% | total: 661
Random_030: 7.55707762557% | total: 662
Random_031: 7.61415525114% | total: 667
Random_032: 7.61415525114% | total: 667
Random_033: 7.70547945205% | total: 675
Random_034: 7.63698630137% | total: 669
Random_035: 7.84246575342% | total: 687
Random_036: 7.84246575342% | total: 687
Random_037: 7.5799086758% | total: 664
Random_038: 7.56849315068% | total: 663
Random_039: 7.29452054795% | total: 639
Random_040: 7.69406392694% | total: 674
Random_041: 7.44292237443% | total: 652
Random_042: 7.72831050228% | total: 677
Random_043: 7.63698630137% | total: 669
Random_044: 7.63698630137% | total: 669
Random_045: 7.85388127854% | total: 688
Random_046: 7.80821917808% | total: 684
Random_047: 7.78538812785% | total: 682
Random_048: 7.39726027397% | total: 648
Random_049: 7.63698630137% | total: 669
Random_050: 7.76255707763% | total: 680
Random_051: 7.52283105023% | total: 659
Random_052: 7.94520547945% | total: 696
Random_053: 7.899543379% | total: 692
Random_054: 7.97945205479% | total: 699
Random_055: 7.87671232877% | total: 690
Random_056: 7.62557077626% | total: 668
Random_057: 7.59132420091% | total: 665
Random_058: 7.64840182648% | total: 670
Random_059: 7.43150684932% | total: 651
Random_060: 7.31735159817% | total: 641
Random_061: 7.56849315068% | total: 663
Random_062: 7.79680365297% | total: 683
Random_063: 7.91095890411% | total: 693
Random_064: 7.5799086758% | total: 664
Random_065: 7.51141552511% | total: 658
Random_066: 7.35159817352% | total: 644
Random_067: 7.54566210046% | total: 661
Random_068: 7.99086757991% | total: 700
Random_069: 8.09360730594% | total: 709
Random_070: 7.62557077626% | total: 668
Random_071: 7.85388127854% | total: 688
Random_072: 7.72831050228% | total: 677
Random_073: 7.71689497717% | total: 676
Random_074: 7.6598173516% | total: 671
Random_075: 8.15068493151% | total: 714
Random_076: 7.60273972603% | total: 666
Random_077: 7.86529680365% | total: 689
Random_078: 7.56849315068% | total: 663
Random_079: 7.5% | total: 657
Random_080: 7.68264840183% | total: 673
Random_081: 7.62557077626% | total: 668
Random_082: 7.86529680365% | total: 689
Random_083: 7.44292237443% | total: 652
Random_084: 7.93378995434% | total: 695
Random_085: 7.67123287671% | total: 672
Random_086: 7.47716894977% | total: 655
Random_087: 7.45433789954% | total: 653
Random_088: 7.5799086758% | total: 664
Random_089: 7.52283105023% | total: 659
Random_090: 7.85388127854% | total: 688
Random_091: 7.61415525114% | total: 667
Random_092: 7.84246575342% | total: 687
Random_093: 7.71689497717% | total: 676
Random_094: 7.55707762557% | total: 662
Random_095: 7.899543379% | total: 692
Random_096: 7.43150684932% | total: 651
Random_097: 7.44292237443% | total: 652
Random_098: 7.46575342466% | total: 654
Random_099: 7.64840182648% | total: 670
Random_100: 7.61415525114% | total: 667
Random_101: 7.59132420091% | total: 665
Random_102: 7.1803652968% | total: 629
Random_103: 7.84246575342% | total: 687
Random_104: 7.69406392694% | total: 674
Random_105: 7.69406392694% | total: 674
Random_106: 7.86529680365% | total: 689
Random_107: 7.60273972603% | total: 666
Random_108: 7.7397260274% | total: 678
Random_109: 7.87671232877% | total: 690
Random_110: 7.14611872146% | total: 626
Random_111: 7.61415525114% | total: 667
Random_112: 7.47716894977% | total: 655
Random_113: 7.60273972603% | total: 666
Random_114: 7.1803652968% | total: 629
Random_115: 7.6598173516% | total: 671
Random_116: 7.63698630137% | total: 669
Random_117: 7.86529680365% | total: 689
Random_118: 7.7397260274% | total: 678
Random_119: 7.63698630137% | total: 669
Random_120: 7.93378995434% | total: 695
Random_121: 7.83105022831% | total: 686
Random_122: 7.79680365297% | total: 683
