Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  01:00:00,16.4,74.0,1.9,0.0,8.937337811128032,0.0,0.0,24.18,38518.40914444194,1.1867456435709126,0.0,21.055569105052169,20.372904248711419,24.43820862581793,19.530463007660609,24.08132807310888,23.773624207691634,20.841342070204026,24.46318550837563,-1.518597421601992,-4.65072795431609,-1.199479476592438,-4.607545778716816,-0.8427274036239104,-1.0053331696432455,-1.4693443490971845,-0.6698174360289045 
 01/01  02:00:00,16.1,76.0,2.2,0.0,7.5520898046934239,0.0,0.0,24.18,38358.626361704206,1.18905531979585,0.0,21.93808549607594,20.309961167962276,24.629982863398607,21.21391074480363,24.22501633370702,23.90300562420261,22.4913687731256,24.279059041322417,-1.6599879285123985,-4.662188604136993,-1.1661926673026236,-4.86561666773897,-0.8449783150489598,-0.9887665216813305,-1.5979238476806069,-0.738809142343526 
 01/01  03:00:00,15.7,79.0,2.4,0.0,7.152512863335971,0.0,0.0,24.18,38247.52577358087,1.190480107100925,0.0,22.052023123900914,20.062074560377107,24.676839004342399,20.898205385041288,24.250823976784028,23.940195135934766,22.578795524261737,24.116029073928737,-1.5192019516156848,-4.686583766525129,-1.1381963677069367,-4.379996798151965,-0.8420830195709852,-0.9705176871716252,-1.2886593777206013,-0.7969293147629302 
 01/01  04:00:00,15.3,82.0,2.6,0.0,5.94341561115192,0.0,0.0,24.18,38105.138085533414,1.1919321643551578,0.0,21.973545348662918,21.338933985167466,24.742731971287247,20.918145284778395,24.2898552135486,23.985632739196505,22.551544103481299,23.92176239398512,-1.5232530587293052,-4.770115661244799,-1.136159854535708,-4.473562375596994,-0.8612972530879733,-0.9683596769970996,-1.2781404372449404,-0.8519716766020551 
 01/01  05:00:00,14.9,84.0,2.9,0.0,5.536869134233484,0.0,0.0,24.18,37635.70034269455,1.1948252795460309,0.0,21.72689469225237,20.15303748826736,24.809782564091387,20.380585742412515,24.32862793911598,24.0284971989472,22.185339592220143,23.776506299651677,-1.5638975264422282,-4.428032620431732,-1.1309410032092005,-4.472737179809057,-0.880054853219112,-0.9663771033240475,-1.290070661525704,-0.9135601933330639 
 01/01  06:00:00,14.5,88.0,3.1,0.0,5.332926905358363,0.0,0.0,24.18,37707.917892968355,1.1961261923124238,0.0,21.449249252326177,20.014585190913729,24.834817919709616,20.04702730362533,24.327708691257145,24.028226074029026,21.8748935328413,23.6304034733549,-1.6394983078371815,-4.762897804258988,-1.1254364585350574,-4.646609176769622,-0.8943609953424544,-0.9631100713129172,-1.3709436188116262,-0.9621551844304653 
 01/01  07:00:00,15.3,82.0,3.1,0.0,5.332926905358363,55.0,158.0,24.18,38082.12492320085,1.1931401104662714,0.0,21.256189986634845,20.02825971215006,24.408142026631326,20.269183140347079,24.040994057085724,23.824394898062658,21.575386835659005,23.526183579060679,-1.6965000808357345,-4.8220854181971719,-1.1194433167672953,-4.748050520021965,-0.8777633073845957,-0.9328618913253846,-1.431459695164649,-0.989767932468281 
 01/01  08:00:00,16.2,77.0,3.1,0.0,6.146024394745439,103.0,619.0,24.18,38879.87343058325,1.18951953830162,0.0,20.038931199847647,19.73455690109681,20.52954501588117,18.985985613540849,21.209869769042933,20.36917786411373,20.030519846901695,19.24934300071781,-1.690073346190075,-4.819092872274442,-1.2034095794546345,-4.69531235304787,-0.8959435428067314,-0.9177978867183586,-1.4755591682849807,-0.9814997326762441 
 01/01  09:00:00,17.0,72.0,3.1,180.0,6.952081907257593,161.0,563.0,24.18,39327.17670620119,1.18651444739062,0.0,20.867438736330958,20.189959160265503,20.045286470252927,20.746776067485464,21.528566033598464,19.98135654575386,21.00122864053334,20.065583547800025,-1.8983698569367007,-4.921318953678676,-2.1115781231435766,-5.096421973244381,-1.4273827764884746,-1.589682330039775,-1.779543085907584,-1.89233038958959 
 01/01  10:00:00,17.8,68.0,3.1,180.0,7.751240046876092,236.0,482.0,24.18,39995.783478815116,1.1833618065420034,0.0,21.014775917698278,19.96452933832493,20.041407303514814,20.855752899685745,21.246101538577979,19.848752011252679,20.643470175973218,19.85847363753469,-1.704932909892284,-4.80166095328383,-2.2146195611726084,-4.596304192710118,-1.3310352841635403,-1.639362215273992,-1.5992145689120275,-1.6767751665268105 
 01/01  11:00:00,18.7,64.0,3.1,180.0,8.543635054473782,235.0,602.0,24.18,40822.64086137488,1.1797805227552039,0.0,21.147188896026333,20.453636374550155,20.196345813963995,21.30789941087341,21.216577193616808,20.05362677565551,20.771387220762877,20.245677187801474,-1.6413213463943799,-4.875320620809842,-2.2123760369794356,-4.557676156626005,-1.3299256068910975,-1.6992799173063238,-1.6667593294173937,-1.6803374478757294 
 01/01  12:00:00,19.5,60.0,3.1,180.0,9.329398990383425,284.0,743.0,24.18,41336.70412185948,1.1756036337402656,0.0,21.290710856991269,21.007885017848645,20.249951050696845,21.68777881939029,21.004979242281537,20.122735752467663,20.87176145988273,20.352151504073505,-1.587850251558186,-4.730750512944815,-2.159189541746941,-4.4177575368197579,-1.2653777736436749,-1.6675520490290215,-1.6265766636194906,-1.5306250572605425 
 01/01  13:00:00,20.3,56.0,3.1,180.0,9.524818961273752,233.0,567.0,24.18,41729.71166313516,1.1727090500758178,0.0,21.610848692287,21.611260509365697,20.872357015884924,22.180334748041476,21.64983320955519,20.610906413536499,21.298894529850477,20.99431003158905,-1.547310995053386,-4.559372676281917,-2.163130897380275,-4.302028732955526,-1.2969641027948263,-1.6903280198827493,-1.601307217024849,-1.4646008713255148 
 01/01  14:00:00,21.2,53.0,3.1,180.0,10.30247367791759,258.0,795.0,24.18,42656.09924807168,1.169117571827395,0.0,22.066393665531114,22.2191865550631,21.646418538264354,22.6734825667387,22.344964258013346,21.362116097817549,21.87213742647585,21.825231737271819,-1.4690132310500237,-4.368101035954395,-1.9929900055784827,-4.144701175685943,-1.1120732619182333,-1.590376355379267,-1.5052884486595404,-1.2529424702184633 
 01/01  15:00:00,22.0,50.0,3.1,180.0,11.073780055127827,217.0,781.0,24.18,43271.597341962086,1.1660948804546756,0.0,22.515576443397167,22.811987315927007,22.31187560583024,23.236578906219778,22.931290962070283,22.07440594963838,22.425083637128219,22.528705859069239,-1.3556983222800552,-4.167850251495757,-1.790731239260996,-3.981778982348866,-0.9416120801998834,-1.4322629435980954,-1.3749402789306895,-1.0105996117909404 
 01/01  16:00:00,21.3,54.0,2.8,180.0,9.91444747927602,147.0,790.0,24.18,43302.40597043742,1.168323477141796,0.0,22.61272298957427,22.35139464296629,21.826749302951474,22.908647373179897,22.595566307104826,21.43602293150289,22.299946122592048,22.162048704493086,-1.2448534175436126,-3.9784114688151974,-1.6236404022701257,-3.7985788314984307,-0.8267223061070789,-1.288938453442243,-1.2523800742466028,-0.8178587610192537 
 01/01  17:00:00,20.7,57.0,2.6,180.0,9.524818961273752,177.0,686.0,24.18,43097.281190298236,1.1692420273128495,0.0,22.343243469312428,21.868004633072326,21.338254846556667,22.57899350630965,22.123266001301695,20.91846511922737,21.909248748501839,21.67497832456793,-1.2050181353392847,-4.075905466946311,-1.706504007751749,-3.861314272647746,-0.8907095807196345,-1.3938819576843158,-1.2657117389138016,-0.8613525639048232 
 01/01  18:00:00,20.0,62.0,2.3,180.0,8.148274592497842,93.0,632.0,24.18,43325.103411018106,1.171344321831812,0.0,22.081806777254767,21.295681590627067,20.811681873581465,22.263441283500517,21.6126178524407,20.30821085007671,21.541072121758505,21.17869785701217,-1.2402608250086223,-4.195231088687778,-1.8096108644345066,-3.934823728905799,-1.0254597251195077,-1.509142559605022,-1.337351395574295,-0.979907594623838 
 01/01  19:00:00,19.3,67.0,2.0,180.0,6.7512197616709959,58.0,481.0,24.18,43426.909917289246,1.1735490980840758,0.0,21.674447120511315,20.665608387043084,20.427404081054559,21.851252518646,21.1880960856868,20.443235055355847,21.128435263548068,20.74045028087119,-1.2846603968836917,-4.339374866612617,-1.9234971222610856,-4.001942114948134,-1.1733498648459234,-1.6081916941028272,-1.4075950654015546,-1.127349014298493 
