Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0299999993294,0.070000000298,0.070000000298,0.070000000298,0.0599999986589,0.070000000298,0.070000000298,0.0799999982119,0.070000000298,0.070000000298
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-1.58839295758,21.5976253662,-2.25787142804,21.0989420891,-1.91072215335,20.2676612411,0.0299999993294,0.0599999986589,0.070000000298,0.0599999986589,0.0599999986589,0.0599999986589,0.0599999986589,0.0799999982119,0.070000000298,0.070000000298
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-1.44263042966,22.3740247095,-2.04318179398,22.6192833714,-1.75124430052,22.5304447958,0.0500000007451,0.0500000007451,0.0500000007451,0.0399999991059,0.0399999991059,0.0399999991059,0.0500000007451,0.0500000007451,0.0500000007451,0.0500000007451
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-1.3140805192,22.2226197079,-1.70354154376,22.5921051718,-1.30025295458,22.7213841054,0.0500000007451,0.0500000007451,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0500000007451,0.0500000007451,0.0500000007451
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-1.3635551425,22.215798455,-1.71002289091,22.9863428204,-1.2682796952,22.9499215159,0.0599999986589,0.0500000007451,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0500000007451,0.0399999991059,0.0500000007451
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-1.38595712646,22.1315588674,-1.62935808541,23.2566531582,-1.23162650695,22.6707929636,0.0599999986589,0.0500000007451,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0500000007451,0.0500000007451,0.0500000007451
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-1.38505367941,22.1624481306,-1.56920701417,22.6966723338,-1.28753892782,22.6060028482,0.0500000007451,0.0500000007451,0.0500000007451,0.0399999991059,0.0399999991059,0.0399999991059,0.0399999991059,0.0500000007451,0.0500000007451,0.0500000007451
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-1.34186575728,22.4454534812,-1.68235211427,22.3863973879,-1.26592770081,21.2693089462,0.0399999991059,0.0500000007451,0.0500000007451,0.0500000007451,0.0500000007451,0.0500000007451,0.0500000007451,0.0599999986589,0.0500000007451,0.0500000007451
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-1.23475202128,22.5481869118,-1.74324699599,21.4529809313,-1.48608184272,21.9164604499,0.0,0.519999980927,0.490000009537,0.52999997139,0.519999980927,0.479999989271,0.479999989271,0.509999990463,0.5,0.519999980927
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-1.15151663355,22.890011879,-1.9195107879,21.5832038838,-1.28942571622,22.0771256595,0.0,0.52999997139,0.5,0.540000021458,0.52999997139,0.490000009537,0.490000009537,0.519999980927,0.509999990463,0.52999997139
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-1.02825535093,21.0086936133,-1.86670996638,20.0456436079,-1.17913764578,20.3154230146,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.550000011921,0.550000011921,0.560000002384
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-1.33032872324,21.5876128796,-2.2062486996,20.6270709458,-1.48903862023,20.8125234141,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.52999997139,0.540000021458,0.560000002384,0.560000002384,0.569999992847
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-1.20176010945,21.8468171852,-2.08870745178,21.000442118,-1.35423061069,21.2342156895,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-1.08429577692,22.5319244134,-1.97113937795,21.7578218247,-1.18886271128,21.9781437565,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-0.914537411146,23.0256855588,-1.7712530691,22.3839025958,-0.965724937243,22.6031147619,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-0.815499793397,22.9149890304,-1.61203876145,21.9920089817,-0.789204782199,22.4569973967,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.560000002384,0.550000011921,0.560000002384
16.0,20.7,2.6,180.0,57.0,1.16924202731,0.0,-0.836065256965,22.5394571039,-1.67229118122,21.5718713069,-0.789783268277,22.0710201765,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.560000002384,0.550000011921,0.560000002384
17.0,20.0,2.3,180.0,62.0,1.17134432183,0.0,-0.948857115325,22.1134018064,-1.75604644749,21.1197316307,-0.884428184945,21.665380413,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.550000011921,0.550000011921,0.560000002384
18.0,19.3,2.0,180.0,67.0,1.17354909808,0.0,-1.07705928946,21.7787590028,-1.84898766889,20.8324710474,-1.00950050637,21.3158434153,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.550000011921,0.550000011921,0.560000002384
19.0,18.7,1.8,180.0,72.0,1.17533265262,0.0,-1.19292897161,21.5865625743,-1.9567016044,20.6862224212,-1.16879793053,21.0592146383,0.0,0.560000002384,0.540000021458,0.569999992847,0.560000002384,0.52999997139,0.52999997139,0.550000011921,0.550000011921,0.560000002384
20.0,18.0,1.5,270.0,77.0,1.17772183568,0.0,-1.27420538669,21.2628682514,-2.02550168285,20.3638415135,-1.3112765662,20.8511683775,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
21.0,17.9,1.6,270.0,77.0,1.17824586609,0.0,-1.36994495114,20.9749786044,-2.12232368524,20.073245823,-1.42781163404,20.5051307776,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
22.0,17.8,1.7,270.0,77.0,1.17876959948,0.0,-1.45995174325,20.8070454088,-2.22123480114,19.9349805889,-1.56549037317,20.3094130885,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.569999992847,0.560000002384,0.569999992847
23.0,17.7,1.8,270.0,77.0,1.18049101601,0.0,-1.52661585358,20.6598150956,-2.28494901454,19.8081010772,-1.66375878333,20.1438595515,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.550000011921,0.569999992847,0.560000002384,0.569999992847
0.0,17.6,1.9,270.0,77.0,1.18101457565,0.0,-1.58860887034,20.5247154886,-2.34510664314,19.7217070335,-1.74740863749,20.0120694166,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.52999997139,0.540000021458,0.560000002384,0.560000002384,0.569999992847
1.0,17.4,2.0,270.0,77.0,1.18206083111,0.0,-1.64869252894,20.4053624652,-2.39373551916,19.6214864425,-1.81692757615,19.8933083333,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.52999997139,0.540000021458,0.560000002384,0.560000002384,0.569999992847
2.0,17.3,2.1,270.0,77.0,1.18258353352,0.0,-1.70681426889,20.3087483217,-2.44765870275,19.505626219,-1.88147155178,19.8065052494,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.52999997139,0.540000021458,0.560000002384,0.560000002384,0.569999992847
3.0,17.2,2.2,270.0,77.0,1.18430599606,0.0,-1.75566671541,20.1217456094,-2.50082319074,19.3785644048,-1.93176167518,19.6115384126,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
4.0,17.1,2.3,270.0,77.0,1.18482855406,0.0,-1.82419794523,19.9897221315,-2.55767212155,19.2622576314,-2.00332936929,19.4804498075,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
5.0,17.0,2.4,270.0,77.0,1.18535083639,0.0,-1.87988323109,19.8542908921,-2.61070591687,19.1503653831,-2.05907388022,19.3456376004,0.0,0.569999992847,0.550000011921,0.579999983311,0.569999992847,0.540000021458,0.540000021458,0.560000002384,0.560000002384,0.569999992847
6.0,18.0,2.3,270.0,73.0,1.1811034955,0.0,-1.89941233333,20.2654386724,-2.64649328082,19.7134453052,-2.08787874375,19.8053600269,0.0,0.579999983311,0.550000011921,0.589999973774,0.579999983311,0.540000021458,0.550000011921,0.569999992847,0.569999992847,0.569999992847
7.0,19.0,2.2,270.0,68.0,1.17720895969,0.0,-1.78783568536,20.7461422297,-2.51509177771,20.2196096179,-1.95273666642,20.3581638342,0.0,0.579999983311,0.560000002384,0.589999973774,0.579999983311,0.540000021458,0.550000011921,0.569999992847,0.569999992847,0.579999983311
8.0,20.0,2.1,90.0,64.0,1.17197693047,0.0,-1.64530102652,21.2293547914,-2.3777094569,20.8802100455,-1.7609847959,20.9859139889,0.0,0.550000011921,0.52999997139,0.550000011921,0.550000011921,0.519999980927,0.519999980927,0.540000021458,0.52999997139,0.540000021458
9.0,21.0,2.0,90.0,60.0,1.16804280174,0.0,-1.46649623877,22.0003894443,-2.18444491248,21.6931295966,-1.52065950015,21.9015820946,0.0,0.550000011921,0.52999997139,0.550000011921,0.550000011921,0.509999990463,0.519999980927,0.540000021458,0.52999997139,0.540000021458
10.0,22.0,1.9,90.0,57.0,1.16390934179,0.0,-1.24372178113,22.6999094516,-1.95442118965,22.4909711935,-1.21940129815,22.7959199238,0.0,0.540000021458,0.519999980927,0.550000011921,0.540000021458,0.509999990463,0.509999990463,0.540000021458,0.52999997139,0.540000021458
11.0,23.0,1.8,90.0,53.0,1.15901415221,0.0,-1.0161341132,23.5561349432,-1.71707333989,23.3571446722,-0.909920132212,23.8540286445,0.0,0.540000021458,0.519999980927,0.540000021458,0.540000021458,0.5,0.509999990463,0.52999997139,0.519999980927,0.52999997139
12.0,24.0,1.7,90.0,50.0,1.15507819642,0.0,-0.754001552567,24.2237799295,-1.4636469935,24.0418286653,-0.56924249799,24.7978654293,0.0,0.52999997139,0.509999990463,0.540000021458,0.52999997139,0.5,0.5,0.519999980927,0.509999990463,0.52999997139
13.0,25.0,1.6,90.0,47.0,1.15123947612,0.0,-0.553322705076,24.8020563544,-1.24352931792,24.6969421901,-0.25297188596,25.7498112341,0.0,0.52999997139,0.509999990463,0.52999997139,0.52999997139,0.490000009537,0.5,0.519999980927,0.509999990463,0.52999997139
14.0,26.0,1.5,90.0,45.0,1.14594825246,0.0,-0.388028477671,25.2575892492,-1.03557407376,25.2189853201,0.0475118326296,26.669711746,0.0,0.52999997139,0.509999990463,0.52999997139,0.52999997139,0.490000009537,0.5,0.519999980927,0.509999990463,0.52999997139
15.0,25.2,1.3,90.0,48.0,1.14871682953,0.0,-0.261072462434,25.301101205,-0.84748307537,25.0940065689,0.332165258805,26.3985675019,0.0,0.509999990463,0.490000009537,0.509999990463,0.509999990463,0.469999998808,0.469999998808,0.5,0.479999989271,0.509999990463
16.0,24.3,1.2,90.0,52.0,1.15171219482,0.0,-0.246423503019,24.9701346475,-0.827886873596,24.5946058654,0.328600840781,25.7311103411,0.0,0.5,0.479999989271,0.509999990463,0.5,0.460000008345,0.469999998808,0.490000009537,0.479999989271,0.5
17.0,23.5,1.0,90.0,55.0,1.15466907652,0.0,-0.333151838617,24.6777505501,-0.886772294999,24.2298244895,0.202707747051,25.2751285146,0.0,0.5,0.479999989271,0.5,0.5,0.460000008345,0.460000008345,0.490000009537,0.469999998808,0.5
