Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  01:00:00,16.4,74.0,1.9,0.0,8.937337811128032,0.0,0.0,24.18,38518.40914444194,1.1867456435709126,0.0,21.112442329338259,20.083580749710206,19.948307842406647,20.10360129697536,20.58015301892122,20.846460512921554,20.717015241860947,19.18610735959451,-1.518597421601992,-4.65072795431609,-1.199479476592438,-4.607545778716816,-0.8427274036239104,-1.0053331696432455,-1.4693443490971845,-0.6698174360289045 
 01/01  02:00:00,16.1,76.0,2.2,0.0,7.5520898046934239,0.0,0.0,24.18,38358.626361704206,1.18905531979585,0.0,21.344177268278004,20.43552781451521,21.129004417919068,20.381229606761257,21.65102691713567,21.712498060637537,21.29620138743411,20.387355875701667,-1.668613013226636,-4.753873857575315,-2.2578714280415839,-4.722510626386344,-1.5883929575786818,-1.603077322313981,-1.6529444363548709,-1.910722153353786 
 01/01  03:00:00,15.7,79.0,2.4,0.0,7.152512863335971,0.0,0.0,24.18,38247.52577358087,1.190480107100925,0.0,21.122638330549937,19.95984638061684,21.30606363598918,19.882681722517284,21.732551101420144,21.749037134905437,20.99961083923672,19.723428447647249,-1.658626186242973,-4.650032440397265,-2.034766727002613,-4.639261973769823,-1.4319488157553049,-1.4635397547841403,-1.5569791305596144,-1.725170995365845 
 01/01  04:00:00,15.3,82.0,2.6,0.0,5.94341561115192,0.0,0.0,24.18,38105.138085533414,1.1919321643551578,0.0,21.191186392646356,20.16454345131011,21.72689711281833,20.111265837269785,21.912788273215207,21.85655747106343,21.267652031879864,18.18094792551464,-1.7298560173556062,-4.794553259958277,-2.0280917244369496,-4.791395484227857,-1.446190975029609,-1.473324559891981,-1.6262972223755157,-1.90758514601197 
 01/01  05:00:00,14.9,84.0,2.9,0.0,5.536869134233484,0.0,0.0,24.18,37635.70034269455,1.1948252795460309,0.0,21.172982115645298,20.228371039822976,20.979459031363147,20.187400079043628,21.434364795073397,21.534772331128303,21.37439798194837,18.102212114829184,-1.743211141366194,-4.7447585518884989,-1.9800780764447923,-4.734696741238466,-1.4379253660786034,-1.4663374132255683,-1.58883763284883,-2.279022051210783 
 01/01  06:00:00,14.5,88.0,3.1,0.0,5.332926905358363,0.0,0.0,24.18,37707.917892968355,1.1961261923124238,0.0,20.930681925500204,20.10052671474762,20.368535669854276,20.056518436801139,20.95286872144661,21.189964958703646,21.121304616158495,17.766612852670169,-1.7693445532489756,-4.751047147846098,-2.1753545847703319,-4.73924918968882,-1.569733980241406,-1.5468807673134509,-1.5789652877251335,-2.3483193036902816 
 01/01  07:00:00,15.3,82.0,3.1,0.0,5.332926905358363,55.0,158.0,24.18,38082.12492320085,1.1931401104662714,0.0,20.699634502379948,19.77380408084466,19.74178375501541,19.696591752000964,20.513376040571413,20.902586264546195,20.579680455540676,17.79533186508668,-1.8173768245911795,-4.803401609321213,-2.3348991896692095,-4.795149388598283,-1.6614983540682927,-1.5954667737285578,-1.6275392843060078,-2.442692544169055 
 01/01  08:00:00,16.2,77.0,3.1,0.0,6.146024394745439,103.0,619.0,24.18,38879.87343058325,1.18951953830162,0.0,20.184469719279634,20.26917456577128,18.96348118005952,20.193525805273013,19.958765312665645,19.95964166780103,20.185894339608184,17.88702931340293,-1.8185681855038399,-4.9189439066053899,-2.4883395155822307,-4.92255652763904,-1.7217018996250784,-1.6067262245801686,-1.7261409723578652,-2.427014116860514 
 01/01  09:00:00,17.0,72.0,3.1,180.0,6.952081907257593,161.0,563.0,24.18,39327.17670620119,1.18651444739062,0.0,20.503612259571765,20.183553283696214,18.872895455459465,20.115630959721856,19.921524230113517,19.280704687771519,20.34909536192973,18.837381061068819,-1.8641346186070258,-4.782767152322227,-2.66311818668157,-4.787982930189296,-1.7968369216229794,-1.7747387801216994,-1.8012851940748174,-2.3668037983538565 
 01/01  10:00:00,17.8,68.0,3.1,180.0,7.751240046876092,236.0,482.0,24.18,39995.783478815116,1.1833618065420034,0.0,20.870032279858849,20.225634860882303,19.334029520553047,20.153159521494805,20.272697838343445,19.653759095114819,20.448803779747107,19.286149747549137,-1.7703179128273703,-4.825713160502815,-2.670757467176151,-4.833186317158883,-1.7517299816742498,-1.8864614383933923,-1.769458131581587,-2.106003640464454 
 01/01  11:00:00,18.7,64.0,3.1,180.0,8.543635054473782,235.0,602.0,24.18,40822.64086137488,1.1797805227552039,0.0,20.96136300650347,20.394616226535228,19.8639460533397,20.31881933511738,20.790677946426066,19.810356469606924,20.50863027482964,19.913251487896287,-1.670520887618893,-4.801416166012428,-2.5474988225395798,-4.8109146140780079,-1.635318835321778,-1.8580023609918222,-1.748740104305974,-1.9377108488234114 
 01/01  12:00:00,19.5,60.0,3.1,180.0,9.329398990383425,284.0,743.0,24.18,41336.70412185948,1.1756036337402656,0.0,21.313419049916939,20.97895850432126,20.460122056263143,20.906290023076218,21.36844812343582,20.147034471816519,20.94294519222532,20.567396171435417,-1.6273428385846303,-4.751031587961961,-2.3911600939184667,-4.764973122768942,-1.4550846230510582,-1.8157311606720242,-1.7265393335307198,-1.7086630836116122 
