Time,BLOCK1:ZONE3::Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE3::Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE7:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK1:ZONE6:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Load [W],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Sens Cool Load [W],BLOCK6:ZONE1:WINTER DESIGN DAY IN SANTA MARIA:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1:SUMMER DESIGN DAY IN SANTA MARIA:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,7.359626E+03,0.000000E+00,1.953325E+04,7.011174E+02,1.896580E+03,2.148630E-02,1.409386E-01,2.306820E+04,8.136136E+01,7.064787E-01,6.044818E-03,1.427417E+05,1.007451E+03,4.371441E+00,7.484934E-02
02:00:00,0.000000E+00,7.401723E+03,0.000000E+00,8.245762E+04,7.002620E+02,1.830962E+03,2.146008E-02,1.360740E-01,2.306789E+04,7.493646E+01,7.064693E-01,5.567486E-03,1.427410E+05,9.291007E+02,4.371417E+00,6.902913E-02
03:00:00,0.000000E+00,1.353607E+04,0.000000E+00,1.227082E+05,7.003670E+02,2.405583E+03,2.146330E-02,1.787974E-01,2.306793E+04,3.963310E+01,7.064706E-01,2.944584E-03,1.427411E+05,7.592146E+02,4.371420E+00,5.641110E-02
04:00:00,0.000000E+00,1.792701E+04,0.000000E+00,1.122730E+05,7.004689E+02,2.980457E+03,2.146642E-02,2.215538E-01,2.306797E+04,3.922723E+00,7.064719E-01,2.927267E-04,1.427411E+05,5.485677E+02,4.371423E+00,4.076340E-02
05:00:00,0.000000E+00,1.120563E+04,0.000000E+00,5.603368E+04,7.005679E+02,2.881644E+03,2.146946E-02,2.142697E-01,2.306801E+04,9.750141E-01,7.064731E-01,7.372368E-05,1.427412E+05,3.821891E+02,4.371425E+00,2.840080E-02
06:00:00,0.000000E+00,6.230878E+03,0.000000E+00,1.620816E+02,7.006640E+02,2.692509E+03,2.147240E-02,2.002600E-01,2.306805E+04,0.000000E+00,7.064742E-01,0.000000E+00,1.427413E+05,3.179278E+02,4.371428E+00,2.362703E-02
07:00:00,0.000000E+00,9.702959E+03,0.000000E+00,2.437464E+04,7.007572E+02,2.044841E+03,2.147526E-02,1.520550E-01,2.306809E+04,1.478215E+01,7.064753E-01,1.098297E-03,1.427414E+05,4.861938E+02,4.371430E+00,3.613203E-02
08:00:00,0.000000E+00,9.407238E+03,0.000000E+00,2.427056E+04,7.008479E+02,1.544558E+03,2.147804E-02,1.148217E-01,2.306812E+04,3.602785E+01,7.064764E-01,2.678485E-03,1.427415E+05,6.263041E+02,4.371433E+00,4.655302E-02
09:00:00,0.000000E+00,9.774190E+03,0.000000E+00,3.510366E+04,7.009359E+02,1.295039E+03,2.148073E-02,9.626744E-02,2.306815E+04,2.780097E+01,7.064774E-01,2.067204E-03,1.427415E+05,5.861440E+02,4.371435E+00,4.356517E-02
10:00:00,0.000000E+00,1.837502E+04,0.000000E+00,1.548571E+05,7.010214E+02,1.054499E+03,2.148336E-02,7.835050E-02,2.306819E+04,7.344775E+00,7.064784E-01,5.456906E-04,1.427416E+05,6.602147E+02,4.371437E+00,4.905346E-02
